instance_name,problem_type,bool_capacity,filepath,num_customers,num_routes,fitness
R2_2_1.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_2_1.txt,200,27,7151.75509142361
R2_2_10.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_2_10.txt,200,10,4534.977344645367
R2_2_2.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_2_2.txt,200,28,6999.556904731005
R2_2_3.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_2_3.txt,200,20,5446.00082940767
R2_2_4.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_2_4.txt,200,13,3830.572082213569
R2_2_5.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_2_5.txt,200,18,5761.804621395839
R2_2_6.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_2_6.txt,200,16,5257.748198078111
R2_2_7.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_2_7.txt,200,14,4963.7345707766535
R2_2_8.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_2_8.txt,200,9,3480.17340000162
R2_2_9.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_2_9.txt,200,15,5419.316665658655
R2_4_1.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_4_1.txt,400,52,16616.143002768647
R2_4_10.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_4_10.txt,400,22,11526.946252261021
R2_4_2.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_4_2.txt,400,43,15916.31392521942
R2_4_3.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_4_3.txt,400,36,13494.45645681094
R2_4_4.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_4_4.txt,400,23,9166.314978737582
R2_4_5.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_4_5.txt,400,30,13804.43593557515
R2_4_6.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_4_6.txt,400,30,13868.965094836907
R2_4_7.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_4_7.txt,400,25,11108.283357967557
R2_4_8.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_4_8.txt,400,18,8485.591885092392
R2_4_9.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_4_9.txt,400,32,13139.471924634532
