row_index,variant_name,functions_count,terminals_count,constants_count,size_total
750,G-VRPTW-MD,6,6,1,13
751,G-VRPTW-MD,10,8,3,21
752,G-VRPTW-MD,11,8,6,25
753,G-VRPTW-MD,7,6,2,15
754,G-VRPTW-MD,5,6,0,11
755,G-VRPTW-MD,6,6,1,13
757,G-VRPTW-MD,5,5,1,11
758,G-VRPTW-MD,7,4,4,15
759,G-VRPTW-MD,3,2,2,7
760,G-VRPTW-MD,7,4,4,15
761,G-VRPTW-MD,8,5,4,17
762,G-VRPTW-MD,12,11,2,25
763,G-VRPTW-MD,7,4,4,15
